symbol,first_mention,mention_count,growth_percentage
$DIDID,2024-11-05 11:15:20.340625,7,133.33333333333331
$TROLL,2024-11-05 11:15:20.340625,45,73.07692307692307
$PSYOP,2024-11-05 11:15:20.340625,2,100.0
$JAJA,2024-11-05 11:15:20.340625,2,100.0
$RISITA,2024-11-05 11:15:20.340625,2,100.0
$MONA,2024-11-05 11:15:20.340625,2,100.0
$DOGE,2024-11-05 11:15:20.340625,4,100.0
$BTC,2024-11-05 11:15:20.340625,7,40.0
$SAGA,2024-11-05 11:15:20.340625,4,100.0
$ETH,2024-11-05 11:15:20.340625,8,33.33333333333333
$PEPE,2024-11-05 11:15:20.340625,5,66.66666666666666
$CHEEMS,2024-11-05 11:15:20.340625,2,100.0
$TRUMPE,2024-11-05 11:15:20.340625,2,100.0
$IKIGAI,2024-11-05 11:15:20.340625,2,100.0
$MOG,2024-11-05 11:15:20.340625,1,0.0
$WICKED,2024-11-05 11:15:20.340625,1,0.0
$APU,2024-11-05 11:15:20.340625,1,0.0
$FEFE,2024-11-05 11:15:20.340625,1,0.0
$PEPO,2024-11-05 11:15:20.340625,1,0.0
$HONK,2024-11-05 11:15:20.340625,1,0.0
$APE,2024-11-05 11:15:20.340625,2,0.0
$NEIRO,2024-11-05 11:15:20.340625,1,0.0
$AGURI,2024-11-05 11:15:20.340625,1,0.0
$URS,2024-11-05 11:15:20.340625,2,100.0
$TOAD,2024-11-05 11:15:20.340625,1,0.0
$PNUT,2024-11-05 11:15:20.340625,1,0.0
$MONDO,2024-11-05 11:15:20.340625,1,0.0
$TRT,2024-11-05 11:15:20.340625,1,0.0
$TURBO,2024-11-05 11:15:20.340625,1,0.0
$BAKA,2024-11-05 11:15:20.340625,1,0.0
$TAB,2024-11-05 11:16:21.046562,8,0.0
$SOL,2024-11-05 11:16:21.046562,5,0.0
$RETARDIO,2024-11-05 11:16:21.046562,1,0.0
$SIGMA,2024-11-05 11:16:21.046562,1,0.0
$POPCAT,2024-11-05 11:16:21.046562,1,0.0
$CAPPUCCINO,2024-11-05 11:16:21.046562,1,0.0
$TRUMPWINS,2024-11-05 11:16:21.046562,1,0.0
$ATMX,2024-11-05 11:16:21.046562,1,0.0
